outcome,action,TPR,FPR,ANS,eventTime
"blue",WAIT,15,91,0.2,1545.058
"red",WAIT,15,91,0.2,1560.135
"red",WAIT,15,91,0.2,1638.978
"red",WAIT,15,91,0.2,1654.978
"red",WAIT,15,91,0.2,1691.994
"blue",WAIT,15,91,0.2,1710.989
"red",WAIT,15,91,0.2,1727.249
"red",WAIT,15,91,0.2,1776.053
"red",WAIT,15,91,0.2,1792.094
"blue",WAIT,15,91,0.2,1828.155
"red",WAIT,15,91,0.2,1843.979
"red",WAIT,15,91,0.2,1874.015
"red",WAIT,15,91,0.2,1889.988
"blue",WAIT,15,91,0.2,1959.227
"red",WAIT,15,91,0.2,1991.978
"red",WAIT,15,91,0.2,2012.046
"blue",WAIT,15,91,0.2,2028.205
"red",WAIT,15,91,0.2,2095.978
"red",WAIT,15,91,0.2,2111.978
"red",WAIT,15,91,0.2,2186.004
"red",WAIT,15,91,0.2,2202.232
"red",WAIT,15,91,0.2,2219.261
"blue",WAIT,15,91,0.2,2235.105
"red",WAIT,15,91,0.2,2267.321
"red",WAIT,15,91,0.2,2281.014
"blue",WAIT,15,91,0.2,2297.096
"red",WAIT,15,91,0.2,2314.144
"red",WAIT,15,91,0.2,2422.978
"red",WAIT,15,91,0.2,2437.027
"red",WAIT,15,91,0.2,2468.978
"red",WAIT,15,91,0.2,2485.978
"blue",WAIT,15,91,0.2,9.15
"red",WAIT,15,91,0.2,142.978
"red",WAIT,15,91,0.2,160.025
"red",WAIT,15,91,0.2,195.0
"red",WAIT,15,91,0.2,244.25
"red",WAIT,15,91,0.2,262.403
"blue",WAIT,15,91,0.2,292.982
"red",WAIT,15,91,0.2,309.978
"red",WAIT,15,91,0.2,327.978
"red",WAIT,15,91,0.2,434.981
"red",WAIT,15,91,0.2,467.06
"red",WAIT,15,91,0.2,515.978
"red",WAIT,15,91,0.2,530.988
"red",WAIT,15,91,0.2,562.978
"blue",WAIT,15,91,0.2,582.064
"red",WAIT,15,91,0.2,597.991
"red",WAIT,15,91,0.2,614.978
"red",WAIT,15,91,0.2,648.053
"blue",WAIT,15,91,0.2,677.14
"blue",WAIT,15,91,0.2,693.117
"red",WAIT,15,91,0.2,712.978
"blue",WAIT,15,91,0.2,731.119
"red",WAIT,15,91,0.2,745.013
"red",WAIT,15,91,0.2,864.094
"red",WAIT,15,91,0.2,882.076
"red",WAIT,15,91,0.2,965.978
"blue",WAIT,15,91,0.2,984.023
"red",WAIT,15,91,0.2,998.038
"red",WAIT,15,91,0.2,1013.129
"red",WAIT,15,91,0.2,1028.23
"red",WAIT,15,91,0.2,1040.978
"red",WAIT,15,91,0.2,1055.008
"blue",WAIT,15,91,0.2,1119.978
"red",WAIT,15,91,0.2,1135.263
"red",WAIT,15,91,0.2,1167.978
"red",WAIT,15,91,0.2,1219.087
"red",WAIT,15,91,0.2,1251.978
"red",WAIT,15,91,0.2,1267.117
"red",WAIT,15,91,0.2,1315.978
"red",WAIT,15,91,0.2,1331.978
"red",WAIT,15,91,0.2,1363.978
"red",WAIT,15,91,0.2,1382.148
"red",WAIT,15,91,0.2,1398.296
"red",WAIT,15,91,0.2,1413.043
"red",WAIT,15,91,0.2,1501.122
"red",WAIT,15,91,0.2,1516.125
"red",WAIT,15,91,0.2,1529.978
"red",WAIT,15,91,0.2,1566.069
"red",WAIT,15,91,0.2,1603.054
"red",WAIT,15,91,0.2,1615.978
"red",WAIT,15,91,0.2,1630.002
"red",WAIT,15,91,0.2,1646.052
"red",WAIT,15,91,0.2,1664.05
"blue",WAIT,15,91,0.2,1681.009
"blue",WAIT,15,91,0.2,1694.009
"red",WAIT,15,91,0.2,1710.992
"red",WAIT,15,91,0.2,1739.127
"red",WAIT,15,91,0.2,1753.978
"red",WAIT,15,91,0.2,1768.978
"red",WAIT,15,91,0.2,1814.978
"red",WAIT,15,91,0.2,1867.12
"red",WAIT,15,91,0.2,1887.023
"red",WAIT,15,91,0.2,1952.978
"red",WAIT,15,91,0.2,1965.992
"red",WAIT,15,91,0.2,1980.978
"red",WAIT,15,91,0.2,2030.978
"red",WAIT,15,91,0.2,2065.014
"red",WAIT,15,91,0.2,2081.978
"red",WAIT,15,91,0.2,2099.172
"blue",WAIT,15,91,0.2,2151.32
"red",WAIT,15,91,0.2,2163.978
"red",WAIT,15,91,0.2,2180.103
"red",WAIT,15,91,0.2,2232.044
"red",WAIT,15,91,0.2,2245.978
"red",WAIT,15,91,0.2,2314.286
"red",WAIT,15,91,0.2,2401.044
"blue",WAIT,15,91,0.2,2417.094
"blue",SWITCH,15,91,0.2,6.814
"red",WAIT,15,91,0.2,44.007
"red",WAIT,15,91,0.2,57.978
"red",WAIT,15,91,0.2,74.978
"red",WAIT,15,91,0.2,95.126
"red",WAIT,15,91,0.2,108.189
"red",WAIT,15,91,0.2,158.994
"blue",WAIT,15,91,0.2,239.241
"red",WAIT,15,91,0.2,258.156
"red",WAIT,15,91,0.2,274.021
"red",WAIT,15,91,0.2,346.196
"red",WAIT,15,91,0.2,407.062
"blue",WAIT,15,91,0.2,457.166
"red",WAIT,15,91,0.2,474.121
"red",WAIT,15,91,0.2,493.998
"red",WAIT,15,91,0.2,527.275
"red",WAIT,15,91,0.2,541.978
"red",WAIT,15,91,0.2,561.217
"red",WAIT,15,91,0.2,612.981
"red",WAIT,15,91,0.2,631.164
"red",WAIT,15,91,0.2,646.978
"red",WAIT,15,91,0.2,662.624
"red",WAIT,15,91,0.2,680.055
"red",WAIT,15,91,0.2,714.183
"red",WAIT,15,91,0.2,731.24
"red",WAIT,15,91,0.2,764.984
"red",WAIT,15,91,0.2,782.181
"red",WAIT,15,91,0.2,814.978
"red",WAIT,15,91,0.2,834.194
"red",WAIT,15,91,0.2,853.088
"red",WAIT,15,91,0.2,886.029
"blue",WAIT,15,91,0.2,901.978
"red",WAIT,15,91,0.2,954.058
"red",WAIT,15,91,0.2,974.144
"red",WAIT,15,91,0.2,990.978
"blue",WAIT,15,91,0.2,1010.978
